Department,Sex,Mode,Att-S1,Att-S2,Att-S3,Att-S4,Att-S5,Att-S6,Att-S7,Att-S8,Discounts,NO-Re-exams,GPA-S1,GPA-S2,GPA-S3,GPA-S4,GPA-S5,GPA-S6,GPA-S7,GPA-S8,Status 
Computer-Application,Male,Fulltime,0.57,0.56,0.61,0.89,0.6,0.85,0.9091,0.9362,20,1,74.58,73.3,68.25,73.42,70,75.17,71.75,83.25,Will Graduate
Computer-Application,Female,Fulltime,0.96,0.74,0.82,0.91,0.56,0.6,0.6061,0.7447,0,8,57.83,62.25,60.75,57.08,55.42,63.58,57.4,62.75,Will Graduate
Computer-Application,Male,Fulltime,0.52,0.96,0.74,0.84,0.98,0.9,0.54,0.52,0,0,63.25,59.97,59.3,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.83,0.83,0.68,0.93,0.58,0.65,0.9697,0.6833,20,0,86.08,79.17,87.8,89.42,90.5,93.33,94.25,89.75,Will Graduate
Computer-Application,Male,Fulltime,0.7,0.75,0.68,0.63,0.63,0.77,0.95,0.95,0,4,52.83,53.88,21.08,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.5,0.56,0.79,0.79,0.59,0.59,0.6545,0.7447,0,8,78.67,78.05,68.05,71.17,65.58,72,56.25,75.6,Will Graduate
Computer-Application,Female,Fulltime,0.98,0.83,0.74,0.72,0.88,0.72,0.99,0.77,0,1,62.25,64.83,60.83,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.52,0.83,0.58,0.93,0.89,0.7,0.8303,0.5426,20,8,62,65.08,64.83,59.67,62.33,63.5,64,55.25,Will Graduate
Computer-Application,Female,Fulltime,0.8,0.94,0.77,0.54,0.92,0.96,0.9576,0.5319,20,0,71.5,82.75,81.42,80.33,85.75,83.75,77.08,77.25,Will Graduate
Computer-Application,Male,Fulltime,0.57,0.98,0.69,0.53,0.57,0.76,0.7939,0.734,20,2,59.17,63.75,66.08,58.58,56.25,61.92,62.28,69.5,Will Graduate
Computer-Application,Female,Fulltime,0.55,0.71,0.89,0.82,0.95,0.8,0.9818,0.8085,20,5,58,63,62.42,63.33,66.58,66.42,68.15,71.25,Will Graduate
Computer-Application,Male,Fulltime,0.65,0.87,0.88,0.81,0.91,0.62,0.9758,0.9255,100,18,53.33,54.33,55.42,55.58,57.33,58.5,56.75,60.25,Will Graduate
Computer-Application,Male,Fulltime,0.73,0.88,0.72,0.95,0.61,0.68,0.9273,0.8085,20,6,63.17,74.58,66.83,57,63,61.83,63.65,73.75,Will Graduate
Computer-Application,Male,Fulltime,0.58,0.87,0.63,0.52,0.72,0.53,0.8242,0.6277,0,0,66.75,61.92,71.17,68.83,64,65.83,61.32,66.25,Will Graduate
Computer-Application,Male,Fulltime,0.53,0.55,0.65,0.6,0.55,0.94,0.9818,0.9362,0,0,63.5,65.83,72.17,67.5,74.75,75.83,74.95,74.5,Will Graduate
Computer-Application,Male,Fulltime,0.59,0.64,0.91,0.66,0.57,0.86,0.9879,0.9362,0,0,86.25,90.75,81.17,81.5,80.5,85.17,74.57,83,Will Graduate
Computer-Application,Male,Fulltime,0.6,0.94,0.88,0.61,0.92,0.75,0.6727,0.5213,0,0,81.92,85.33,89.42,79.08,75.25,80.25,71.75,80,Will Graduate
Computer-Application,Male,Parttime,0.95,0.8,0.67,0.96,0.78,0.51,0.8299,0.6724,0,0,68.58,81.33,78.17,76.33,72.58,77.42,60.92,74.75,Will Graduate
Computer-Application,Male,Fulltime,0.72,0.56,0.66,0.6,0.55,0.97,0.9091,0.9468,20,0,85.67,93.5,90.92,89.08,90.33,90.33,85.08,93,Will Graduate
Computer-Application,Male,Fulltime,0.52,0.75,0.69,0.73,0.59,0.74,0.93,0.94,0,0,48.58,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.51,0.53,0.61,0.98,0.58,0.95,0.7939,0.9255,0,0,69.75,74.5,71.42,67.67,64.25,68.42,66.62,72.35,Will Graduate
Computer-Application,Male,Fulltime,0.88,0.63,0.99,0.57,0.87,0.65,0.65,0.82,0,6,52,55.33,45.33,53.33,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.53,0.8,0.91,0.64,0.51,0.61,0.9515,0.9362,0,3,57.33,73,68.5,65.83,65.5,70.42,70.05,75.85,Will Graduate
Computer-Application,Male,Fulltime,0.61,0.69,0.63,0.6,0.62,0.79,0.7758,0.8723,20,0,81.75,86.83,84.58,81.75,82.17,84.17,76.58,85.75,Will Graduate
Computer-Application,Female,Fulltime,0.62,0.71,0.71,0.94,0.56,0.5,0.9455,0.9787,0,0,78.58,83.42,82.58,72.67,85.33,84.67,78.25,80.75,Will Graduate
Computer-Application,Male,Fulltime,0.92,0.56,0.56,0.63,0.97,0.98,0.8242,0.8511,20,2,59,62,64.92,63.58,69.92,73.17,59.62,66.75,Will Graduate
Computer-Application,Male,Fulltime,0.57,0.79,0.73,0.78,0.71,0.74,0.9758,0.9574,20,0,71.58,75.17,85.17,78.92,82.33,80,78.17,78.85,Will Graduate
Computer-Application,Male,Fulltime,0.66,0.85,0.76,0.76,0.52,0.84,0.63,0.64,45,0,59.42,63.08,41.42,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.57,0.64,0.51,0.62,0.59,0.57,0.6713,0.6207,0,2,71.67,72.83,75.58,64.42,70.67,67.33,69.58,78.25,Will Graduate
Computer-Application,Male,Fulltime,0.6,0.79,0.67,0.98,0.89,0.51,0.9758,1,100,0,87.67,90.33,85.5,83.5,92,92.5,89.87,94.5,Will Graduate
Computer-Application,Male,Fulltime,0.9,0.96,0.6,0.63,0.84,0.81,0.703,0.7766,20,8,66.75,63.67,63.08,58,61.42,63.17,55.83,57.35,Will Graduate
Computer-Application,Male,Parttime,0.92,0.77,0.6,0.71,0.76,0.66,0.53,0.69,0,0,24.58,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.82,0.66,0.85,0.78,0.83,0.84,0.9576,0.9255,0,0,80.92,84.92,88.83,83.58,87,90.92,80.73,86.75,Will Graduate
Computer-Application,Male,Parttime,0.67,0.57,0.84,0.99,0.94,0.72,0.7832,0.8966,20,1,63.83,77.17,68.75,68.25,70,69.25,64.83,76,Will Graduate
Computer-Application,Male,Fulltime,0.83,0.64,0.75,0.8,0.77,0.96,0.9576,0.766,0,8,62.67,66.67,68.42,63,59.75,72.75,77.37,79.67,Will Graduate
Computer-Application,Male,Parttime,0.81,0.97,0.96,0.86,0.96,0.69,0.59,0.88,0,2,60.92,59.67,57.92,53.42,9.67,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.51,0.67,0.81,0.55,0.81,0.93,0.9333,0.7979,20,0,80.75,78.42,73.42,78,72.58,72.75,75.83,80,Will Graduate
Computer-Application,Male,Fulltime,0.83,0.62,0.62,0.71,0.73,0.5,0.83,0.63,0,3,38.58,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.83,0.71,0.58,0.78,0.67,0.51,0.53,0.65,20,13,52,51.5,52.08,46.75,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.73,0.87,0.64,0.6,0.57,0.58,0.8182,0.6596,0,1,77,75.92,80.42,71.92,72.75,73.67,71.5,62.43,Will Graduate
Computer-Application,Female,Fulltime,0.69,0.71,0.97,0.75,0.84,0.94,0.8727,0.8085,0,4,59.33,61.08,67.92,60.08,61.5,65.5,67.17,73,Will Graduate
Computer-Application,Male,Fulltime,0.86,0.59,0.87,0.6,0.89,0.66,0.62,0.62,20,0,78.42,76.58,28,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.52,0.75,0.73,0.88,0.3905,0.5152,0.74,0.57,8,13,52.5,45.33,55.92,53.83,39.5,1.6,0,0,Dropout
Computer-Application,Male,Parttime,0.53,0.86,0.71,0.99,0.83,0.68,0.7273,0.5517,20,1,88.08,64.25,71.42,81.67,77.17,75.42,73.58,77,Will Graduate
Computer-Application,Male,Fulltime,0.53,0.86,0.69,0.9,0.9,0.84,0.7986,0.7263,0,1,70.25,68.42,72.5,79.5,74.75,78.42,66.42,77.85,Will Graduate
Computer-Application,Male,Fulltime,0.91,0.92,0.89,0.69,0.78,0.85,0.7388,0.6875,0,0,75.58,73.73,75.67,76.92,82,80.92,78.33,81.75,Will Graduate
Computer-Application,Male,Fulltime,0.58,0.71,0.81,0.9,0.59,0.75,0.51,0.78,20,3,49.08,40.83,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.54,0.9,0.85,0.56,0.74,0.56,0.56,0.64,20,0,50.75,55.83,38.47,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.92,0.53,0.91,0.96,0.57,0.98,0.9712,0.9579,9,3,61.25,64.53,69.58,70.67,71.83,79.33,68.33,85,Will Graduate
Computer-Application,Male,Fulltime,0.71,0.59,0.82,0.84,0.76,0.76,0.7554,0.7158,0,31,56.67,58.83,52.33,51.83,51.83,51.83,52.67,58.25,Will Graduate
Computer-Application,Male,Fulltime,0.84,0.78,0.86,0.95,0.71,0.69,0.8058,0.7579,0,8,74.67,61.47,55.17,50,55.17,69,58.33,66.1,Will Graduate
Computer-Application,Male,Fulltime,0.81,0.51,0.64,0.64,0.81,0.62,0.7554,0.8,20,0,79.92,70.55,81.33,81.75,82.58,84.58,74.08,78.6,Will Graduate
Computer-Application,Male,Parttime,0.52,0.75,0.68,0.68,0.86,0.78,0.8489,0.6364,0,0,77.75,76.33,82.17,80.17,78.58,81.08,81.58,79.75,Will Graduate
Computer-Application,Male,Parttime,0.9,0.64,0.52,0.69,0.87,0.79,0.86,0.94,0,0,71.33,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.63,0.84,0.8,0.5,0.62,0.57,0.5,0.82,0,0,70.42,15.47,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.58,0.95,0.52,0.74,0.64,0.97,0.97,0.94,0,0,70.33,6.28,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.8,0.67,0.94,0.71,0.74,0.57,0.9712,0.9474,0,0,83.75,80.83,88.17,90.08,91.58,91.58,90.83,86.75,Will Graduate
Computer-Application,Male,Parttime,0.79,0.63,0.79,0.58,0.52,0.85,0.7,0.96,0,2,56.67,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.71,0.66,0.68,0.92,0.56,0.56,0.64,0.51,20,2,43.25,40.33,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.62,0.57,0.99,0.77,0.86,0.99,0.87,0.88,0,2,52.33,59.67,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.63,0.93,0.78,0.6,0.66,0.99,0.7698,0.7053,0,20,60.58,56.17,54.75,58.67,55.17,56.5,57.33,58.68,Will Graduate
Computer-Application,Male,Parttime,0.92,0.75,0.99,0.73,0.66,0.61,0.57,0.52,20,0,82.67,65.38,60.42,72.67,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9,0.93,0.98,0.6,0.57,0.55,0.54,0.55,0,0,52.33,28.92,36.58,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.51,0.57,0.84,0.97,0.86,0.9,0.7857,0.5854,0,0,65.33,66.42,70.58,72.5,75.92,71.83,63.42,68.7,Will Graduate
Computer-Application,Male,Fulltime,0.91,0.84,0.5,0.96,0.8,0.66,0.8492,0.622,20,10,62.08,62.47,64.5,53.33,51.83,61,60.75,61.5,Will Graduate
Computer-Application,Male,Fulltime,0.88,0.92,0.99,0.66,0.87,0.84,0.9365,0.6707,0,0,80.92,79.83,79.92,85.17,86,82.17,80.25,75.6,Will Graduate
Computer-Application,Male,Parttime,0.83,0.98,0.95,0.78,0.59,0.59,0.68,0.63,0,0,53.5,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.61,0.66,0.98,0.93,0.73,0.87,0.66,0.69,8,3,53.25,15.5,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.51,0.64,0.68,0.98,0.86,0.87,0.77,0.73,20,0,46.25,51.17,10.33,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.94,0.92,0.8,0.73,0.73,0.5,0.9683,0.9189,20,0,97,96.42,96.33,96,96.67,97.83,94.33,96.75,Will Graduate
Computer-Application,Male,Fulltime,0.96,0.76,0.91,0.78,0.68,0.57,0.81,0.82,20,2,51.83,51.45,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.63,0.5,0.6,0.54,0.9,0.88,0.72,0.96,0,15,34,32.33,40.17,33.83,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.78,0.96,0.97,0.97,0.94,0.78,0.8881,1,0,0,72.58,76.92,73.83,70.33,70.33,76.75,69.92,81.13,Will Graduate
Computer-Application,Male,Fulltime,0.7,0.56,0.69,0.77,0.79,0.66,0.93,0.66,0,2,37.92,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.87,0.66,0.67,0.9,0.97,0.67,0.95,0.72,0,0,59.75,35.42,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.87,0.78,0.78,0.56,0.97,0.67,0.7612,0.9375,0,4,75.67,73.95,59.83,67.25,69.83,67.92,58.58,80.25,Will Graduate
Computer-Application,Male,Parttime,0.83,0.84,0.71,0.55,0.61,0.91,0.9368,0.7188,0,0,86.75,87.08,80.67,83.17,93.33,91.25,88.25,94.65,Will Graduate
Computer-Application,Male,Parttime,0.63,0.79,0.56,0.96,0.59,0.57,0.61,0.85,0,0,77.92,68.42,63.17,28.5,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.91,0.5,0.76,0.82,0.82,0.65,0.78,0.97,27,0,80.25,78.33,60.42,49.5,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.89,0.63,0.99,0.55,0.79,0.8,0.7537,0.875,0,10,58.58,66.45,57.58,56.33,63.5,63.75,58.42,67,Will Graduate
Computer-Application,Male,Fulltime,0.53,0.77,0.75,0.98,0.64,0.78,0.8433,0.7188,20,6,76.75,71.17,67.75,73.17,58.17,56.33,59.92,75.25,Will Graduate
Computer-Application,Female,Fulltime,0.97,0.53,0.72,0.52,0.95,0.69,0.8333,0.7294,0,0,81.33,75.08,75.83,74,75.17,73.92,68.42,74.48,Will Graduate
Computer-Application,Male,Fulltime,0.52,0.71,0.96,0.71,0.65,0.61,0.63,0.83,30,4,53.42,45.5,26.58,39.42,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.77,0.71,0.75,0.59,0.74,0.91,0.85,0.51,0,0,93.58,47.67,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.53,0.69,0.84,0.64,0.69,0.53,0.8276,0.6706,0,5,64.5,53.5,64.42,67.25,70.42,64.75,62,74.2,Will Graduate
Computer-Application,Male,Parttime,0.65,0.61,0.61,0.74,0.85,0.55,0.71,0.92,0,13,55.33,62.58,41.25,43.67,22.83,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.53,0.62,0.99,0.61,0.59,0.62,0.85,0.89,0,3,42.83,41.83,19.67,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.89,0.79,0.8,0.62,0.71,0.69,0.82,0.55,0,1,59.67,58.67,59.42,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.77,0.76,0.99,0.67,0.89,0.93,0.8736,0.8235,20,0,84.33,86.17,85.55,80.67,81.58,77.92,76.32,84,Will Graduate
Computer-Application,Male,Parttime,0.5,0.73,0.63,0.97,0.96,0.88,0.6923,0.7586,0,12,58.25,61.58,62.25,59,51.42,62.08,58.83,63.75,Will Graduate
Computer-Application,Male,Fulltime,0.54,0.57,0.71,0.88,0.75,0.63,0.908,0.7412,0,1,71.08,66.67,68.75,68.92,75.75,77.08,72.33,76.35,Will Graduate
Computer-Application,Male,Parttime,0.77,0.71,0.75,0.64,0.93,0.76,0.99,0.69,20,0,81.25,10.83,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.92,0.68,0.67,0.81,0.54,0.78,0.77,0.51,20,4,39.33,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.94,0.83,0.84,0.71,0.52,0.5,0.9394,0.8511,20,0,79.5,67.25,71.17,67,75.58,78.92,68.2,72,Will Graduate
Computer-Application,Female,Fulltime,0.92,0.6,0.74,0.92,0.86,0.58,0.8909,0.8511,0,0,67.83,64.17,74.25,66.67,77.17,79,69.23,79,Will Graduate
Computer-Application,Male,Parttime,0.5,0.96,0.82,0.69,0.52,0.54,0.7622,0.8276,0,9,54.67,66,54.58,58.92,64.08,61.17,51,70,Will Graduate
Computer-Application,Male,Fulltime,0.62,0.98,0.54,0.76,0.69,0.67,0.903,0.9362,20,0,73.67,80.75,76.33,73,72.67,75.5,70.5,81.85,Will Graduate
Computer-Application,Male,Fulltime,0.77,0.87,0.54,0.6,0.88,0.6,0.9091,0.883,20,0,78.67,70.72,77.42,74.5,71.5,80.67,77.98,83,Will Graduate
Computer-Application,Male,Parttime,0.92,0.77,0.6,0.69,0.66,0.75,0.6573,0.4828,20,12,59.58,59.08,55.75,61.75,63.33,63.92,59.92,66.75,Will Graduate
Computer-Application,Male,Fulltime,0.77,0.62,0.77,0.51,0.75,0.71,0.7931,0.5412,20,14,65.43,57.08,60.38,57.5,59.08,55.58,54.82,68.68,Will Graduate
Computer-Application,Female,Fulltime,0.54,0.83,0.54,0.73,0.53,0.97,0.76,0.88,20,0,61.67,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Parttime,0.69,0.57,0.81,0.85,0.83,0.61,0.965,0.8621,50,0,90,90.58,92.58,92.67,91.42,89.92,85.5,93.75,Will Graduate
Computer-Application,Male,Fulltime,0.57,0.52,0.91,0.98,0.68,0.95,0.8433,0.9063,0,0,76.08,80.25,68.72,73.75,70.42,67.67,62.17,70.5,Will Graduate
Computer-Application,Male,Fulltime,0.9,0.83,0.97,0.86,0.9,0.94,0.9368,0.9412,0,0,84.5,82.67,85.5,81.83,84.08,82.67,75,84.73,Will Graduate
Computer-Application,Male,Parttime,0.6,0.58,0.62,0.85,0.88,0.89,0.79,0.81,0,6,45.33,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.98,0.57,0.93,0.96,0.52,0.73,0.8506,0.8588,20,0,77.42,73.75,75.75,75.97,77.75,71.83,67.47,80.63,Will Graduate
Computer-Application,Male,Fulltime,0.59,0.78,0.6,0.68,0.62,0.54,0.5108,0.3474,0,18,76.5,66.08,68.58,56.5,55.67,54.17,50.33,59.5,Will Graduate
Computer-Application,Male,Parttime,0.86,0.69,0.87,0.78,0.81,0.69,0.7329,0.6176,0,5,65,70.5,70.5,59.83,66.75,59.92,61.12,77.9,Will Graduate
Computer-Application,Male,Fulltime,0.54,0.65,0.61,0.6,0.68,0.59,0.7388,0.7188,0,15,73.33,52.92,57.25,59,58.25,59.67,59.75,69.25,Will Graduate
Computer-Application,Male,Fulltime,0.77,0.9,0.66,0.6,0.56,0.97,0.71,0.62,20,8,46.83,49,48.5,44.5,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.63,0.52,0.72,0.53,0.98,0.85,0.81,0.98,0,0,69.33,62.33,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.98,0.98,0.98,0.95,0.81,0.72,0.68,0.75,0,0,56.58,45.42,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.58,0.98,0.65,0.83,0.69,0.97,0.6667,0.3902,0,2,66.08,64.67,64,64.5,82,65.33,59.92,70.38,Will Graduate
Computer-Application,Male,Fulltime,0.78,0.99,0.61,0.61,0.7,0.7,0.8333,0.7195,0,2,70.08,69.25,65.5,64.67,66.17,63.02,62.5,73.48,Will Graduate
Computer-Application,Male,Fulltime,0.68,0.98,0.85,0.83,0.59,0.97,0.59,0.54,20,2,54.67,10.92,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.94,0.58,0.6,0.77,0.53,0.86,0.71,0.96,0,2,58.25,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.7,0.74,0.61,0.84,0.89,0.91,0.89,0.74,0,2,50.08,49.33,36.5,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.69,0.57,0.79,0.74,0.83,0.94,0.7,0.69,0,0,58.5,8.33,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.74,0.93,0.94,0.91,0.76,0.55,0.98,0.76,20,9,65.5,50.25,40.25,59.58,59.5,2,0,0,Dropout
Computer-Application,Male,Parttime,0.85,0.7,0.93,0.56,0.51,0.88,0.87,0.73,20,0,21.42,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.83,0.63,0.67,0.98,0.89,0.52,0.993,1,0,0,81.33,84.5,72.58,79.42,82.33,83.42,73.25,83.25,Will Graduate
Computer-Application,Male,Parttime,0.99,0.58,0.96,0.55,0.87,0.72,0.99,0.8,0,0,59.25,48.83,45.33,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.7,0.55,0.64,0.54,0.8,0.88,0.7545,0.7059,0,3,64.83,65,60.5,62.75,62.67,60.75,55.67,60.3,Will Graduate
Computer-Application,Male,Fulltime,0.53,0.77,0.76,0.99,0.68,0.94,0.68,0.57,0,12,60.08,47.83,42.67,26.67,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.52,0.96,0.75,0.85,0.52,0.54,0.7836,0.6875,0,0,74.83,74.33,70.57,76.5,74.92,78.42,64.67,72.5,Will Graduate
Computer-Application,Male,Fulltime,0.68,0.75,0.71,0.82,0.96,0.85,1,1,0,0,77.75,66,75.58,77.5,81.75,86.83,82.78,89,Will Graduate
Computer-Application,Male,Fulltime,0.56,0.92,0.92,0.86,0.55,0.66,0.791,0.5625,20,6,69.08,64.08,66.25,69.33,66.75,60.58,59.58,62.75,Will Graduate
Computer-Application,Male,Fulltime,0.67,0.88,0.88,0.77,0.72,0.8,0.903,0.9375,0,0,87.67,83.33,83.25,77.17,80.67,75.83,74.33,82,Will Graduate
Computer-Application,Male,Parttime,0.76,0.89,0.67,0.7,0.3275,0.97,0.79,0.54,8,2,54.75,51.83,60.92,57.17,9.67,0,0,0,Dropout
Computer-Application,Male,Parttime,0.56,0.66,0.6,0.51,0.78,0.86,0.99,0.87,0,0,38,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.86,0.72,0.51,0.88,0.89,0.81,0.88,0.99,0,4,39.17,11.92,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.8,0.56,0.88,0.75,0.61,0.8,0.66,0.91,0,0,0.6,3.33,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.76,0.69,0.67,0.78,0.91,0.72,0.5548,0.86,0,1,69.25,64.92,65.83,60.92,63.25,61.25,14.17,0,Dropout
Computer-Application,Male,Fulltime,0.94,0.61,0.6099,0.6595,0.6383,0.4641,0.73,0.84,53,0,90.58,76.08,63.42,75.92,28.17,1.67,0,0,Dropout
Computer-Application,Male,Fulltime,0.67,0.97,0.86,0.89,0.9,0.81,0.86,0.86,0,0,46.42,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.54,0.8,0.89,0.56,0.65,0.56,0.86,0.64,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.83,0.79,0.94,0.84,0.89,0.91,0.8392,1,20,0,70.5,73.42,70.25,78.67,78.92,78.08,73.67,85.25,Will Graduate
Computer-Application,Male,Fulltime,0.83,0.92,0.62,0.83,0.81,0.58,0.97,0.62,0,0,55.83,59.33,43.42,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.59,0.5,0.75,0.75,0.52,0.84,0.8889,0.939,20,0,72,70.4,67.92,73.33,70.08,71.67,67.75,70,Will Graduate
Computer-Application,Male,Parttime,0.63,0.65,0.85,0.83,0.59,0.96,0.9021,0.6897,0,0,86.17,77.58,69.42,79.17,78.42,79.08,82.92,76,Will Graduate
Computer-Application,Female,Fulltime,0.54,0.82,0.5,0.52,0.63,0.6,0.7778,0.5244,0,0,64.98,72.42,78.25,72.25,79.83,78.43,75.83,74.45,Will Graduate
Computer-Application,Male,Fulltime,0.59,0.67,0.6,0.99,0.65,0.79,0.8881,0.9063,20,0,72.83,71.33,72.75,73.92,74.83,78.67,65.58,81,Will Graduate
Computer-Application,Male,Fulltime,0.67,0.51,0.52,0.6,0.95,0.97,0.97,0.97,0,1,69.42,58.33,63.3,29.5,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.51,0.66,0.78,0.95,0.91,0.7,0.9879,0.9255,20,1,65.17,67.13,72.92,64.67,72.75,76.08,68.75,72.25,Will Graduate
Computer-Application,Female,Fulltime,0.75,0.69,0.7,0.92,0.52,0.82,0.8909,0.9043,20,0,74.58,70.5,71.33,66.17,75.92,75.58,73.48,81.75,Will Graduate
Computer-Application,Male,Fulltime,0.74,0.62,0.87,0.5,0.92,0.59,0.7,0.74,0,0,43.9,28.75,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.77,0.62,0.82,0.75,0.79,0.69,0.8433,0.7813,0,10,53.5,52.83,53.47,62.67,62.92,56.17,60.75,65.5,Will Graduate
Computer-Application,Male,Fulltime,0.54,0.98,0.79,0.51,0.67,0.83,0.65,0.78,20,1,59.17,52.17,22.67,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.99,0.77,0.86,0.53,0.54,0.64,0.7455,0.6702,0,3,64.83,70.42,65.83,66.17,69.92,75.5,66.33,77.35,Will Graduate
Computer-Application,Male,Fulltime,0.84,0.58,0.88,0.68,0.74,0.67,0.66,0.76,20,6,12.67,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.56,0.81,0.87,0.91,0.96,0.55,0.89,0.79,0,3,68,66.33,62.58,53.08,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.84,0.94,0.67,0.53,0.67,0.76,0.79,0.65,0,2,57.5,6,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.92,0.63,0.92,0.69,0.7,0.94,0.58,0.62,0,3,2,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.96,0.53,0.81,0.95,0.82,0.77,0.9254,0.9688,0,1,73.75,66,72.93,70.17,72.5,84.25,77.5,86.5,Will Graduate
Computer-Application,Male,Parttime,0.82,0.99,0.51,0.58,0.4519,0.88,0.68,0.74,20,15,53.25,52.17,45.33,45.33,24,0,0,0,Dropout
Computer-Application,Male,Parttime,0.71,0.88,0.77,0.72,0.81,0.88,0.5,0.85,0,1,65.67,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.83,0.73,0.68,0.7,0.96,0.69,0.9104,0.9375,20,0,85.5,87.08,84.5,87.08,91.08,92.08,87.08,90.75,Will Graduate
Computer-Application,Male,Fulltime,0.95,0.85,0.91,0.99,0.74,0.72,0.89,0.8,20,4,42.33,50.17,37.25,43.17,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.83,0.77,0.87,0.53,0.53,0.6,0.89,0.65,0,0,71.33,66.83,69.58,27.67,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.95,0.53,0.81,0.97,0.93,0.72,0.993,0.9167,0,2,87.92,74.75,77.17,75.08,76.5,75.83,71.17,78.9,Will Graduate
Computer-Application,Male,Parttime,0.92,0.51,0.81,0.53,0.72,0.5,0.8252,1,0,2,79.58,68,69.08,73.67,65.5,61.33,63.67,82.25,Will Graduate
Computer-Application,Female,Fulltime,0.65,0.79,0.99,0.57,0.91,0.82,0.89,0.98,0,0,46.83,66.42,27.92,0,0,0,0,0,Dropout
